CO_CURSO,NT_GER,QT_ALUNOS,QE_I63,QE_I57,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F,QE_I23_ordinal
1272012,50.49090909090909,22,4.545454545454546,4.7272727272727275,0.68,0.04,0.04,0.16,0.08,0.0,3.16
1272079,44.71875,16,3.6666666666666665,4.666666666666667,0.6111111111111112,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,3.1666666666666665
1279016,30.636,25,4.384615384615385,4.615384615384615,0.8846153846153846,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,2.3076923076923075
1279023,43.95294117647059,17,4.6,4.6,0.7222222222222222,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,3.2777777777777777
1279527,26.47246376811594,69,4.142857142857143,4.228571428571429,0.8285714285714286,0.02857142857142857,0.05714285714285714,0.04285714285714286,0.014285714285714285,0.02857142857142857,2.442857142857143
1279551,30.916666666666668,24,4.333333333333333,4.777777777777778,0.9230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,2.3846153846153846
1280431,43.67333333333333,30,4.5,4.5,0.53125,0.03125,0.03125,0.25,0.15625,0.0,2.84375
1282899,34.8,8,3.6,4.0,0.625,0.0,0.0,0.0,0.375,0.0,3.0
1283028,37.45238095238095,21,4.444444444444445,4.222222222222222,0.8,0.1,0.0,0.05,0.05,0.0,2.35
12837,51.581818181818186,33,4.25,4.25,0.6666666666666666,0.02564102564102564,0.0,0.20512820512820512,0.10256410256410256,0.0,3.4358974358974357
1286732,36.93333333333333,36,4.230769230769231,4.384615384615385,0.7297297297297297,0.02702702702702703,0.05405405405405406,0.13513513513513514,0.02702702702702703,0.02702702702702703,2.6486486486486487
1288002,49.561904761904756,21,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3636363636363638
1288839,35.19666666666667,30,3.8,4.733333333333333,0.53125,0.03125,0.125,0.1875,0.09375,0.03125,2.375
1292727,36.72272727272727,44,4.454545454545454,4.545454545454546,0.6666666666666666,0.041666666666666664,0.0625,0.125,0.08333333333333333,0.020833333333333332,2.8125
1292900,31.341129032258067,124,4.178571428571429,4.321428571428571,0.9328859060402684,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.006711409395973154,0.006711409395973154,2.771812080536913
12946,58.525,48,3.8181818181818183,4.454545454545454,0.6078431372549019,0.0,0.0,0.19607843137254902,0.19607843137254902,0.0,3.4901960784313726
1299927,38.945454545454545,11,4.5,4.5,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,3.4166666666666665
1300284,24.666666666666668,9,4.5,4.5,0.9,0.1,0.0,0.0,0.0,0.0,2.5
