CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
18387,40.69069767441861,0.022222222222222223,0.0,0.022222222222222223,0.08888888888888889,0.26666666666666666,0.6,0.0,0.0,0.7777777777777778,0.0,0.0,0.15555555555555556,0.06666666666666667,0.0
18518,43.73684210526316,0.0,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5,0.0,0.045454545454545456,0.5909090909090909,0.0,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.0
18558,34.41875,0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.0,0.0,0.8888888888888888,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0
18559,40.392857142857146,0.0,0.11428571428571428,0.14285714285714285,0.3142857142857143,0.2857142857142857,0.11428571428571428,0.02857142857142857,0.0,0.7714285714285715,0.08571428571428572,0.0,0.14285714285714285,0.0,0.0
18584,33.872093023255815,0.02040816326530612,0.02040816326530612,0.08163265306122448,0.20408163265306123,0.30612244897959184,0.2857142857142857,0.061224489795918366,0.02040816326530612,0.8775510204081632,0.0,0.0,0.10204081632653061,0.02040816326530612,0.0
18585,33.537142857142854,0.0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.6111111111111112,0.0,0.08333333333333333,0.16666666666666666,0.1388888888888889,0.0
18624,34.60526315789474,0.0,0.0,0.0,0.24,0.08,0.64,0.04,0.0,0.88,0.04,0.04,0.0,0.04,0.0
18671,38.30625,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.0,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.0,0.0,0.0
18683,38.741379310344826,0.0,0.0,0.02857142857142857,0.17142857142857143,0.17142857142857143,0.6,0.02857142857142857,0.0,0.8285714285714286,0.0,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.0
18686,44.872727272727275,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0
18698,31.970370370370368,0.04819277108433735,0.07228915662650602,0.08433734939759036,0.2891566265060241,0.18072289156626506,0.30120481927710846,0.024096385542168676,0.0,0.891566265060241,0.0,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.024096385542168676
